id	ec_numbers
MNXR101864	1.6.5.3
MNXR101865	1.6.5.3
MNXR101866	1.6.5.3
MNXR101867	
MNXR101871	1.6.5.2
MNXR101872	1.6.5.2;1.6.5.3;1.6.5.9
MNXR101873	1.6.5.3
MNXR101874	1.6.5.3
MNXR101875	1.6.5.3
MNXR101876	1.6.5.2;1.6.5.3
MNXR101878	
MNXR101879	1.11.1.1;1.14.12.17
MNXR101880	
MNXR101881	
MNXR101882	2.7.1.23
MNXR101884	2.7.1.23
MNXR101885	2.7.1.23
MNXR101886	2.7.1.23
MNXR101887	2.7.1.23
MNXR101889	
MNXR101891	1.6.5.2;1.6.99.6
MNXR101892	1.6.99.6
MNXR101893	1.6.5.2;1.6.99.6
MNXR101894	
MNXR101896	
MNXR101898	1.6.1.1;1.6.1.2;1.6.1.3
MNXR101899	1.12.1.2;1.12.1.5
MNXR101900	
MNXR101901	
MNXR101902	
MNXR101903	
MNXR101904	
MNXR101905	
MNXR101907	
MNXR101908	
MNXR101912	
MNXR101914	
MNXR101915	
MNXR101916	
MNXR101917	3.5.1.32
MNXR101918	
MNXR101919	
MNXR101920	
MNXR101921	
MNXR101922	
MNXR101923	
MNXR101925	
MNXR101926	
MNXR101930	3.6.1.12;3.6.1.55;3.6.1.6
MNXR101932	3.6.1.23;3.6.1.6
MNXR101937	2.7.4.6
MNXR101938	2.7.4.6
MNXR101939	2.7.4.6
MNXR101940	2.7.4.6
MNXR101943	
MNXR101944	3.5.1.106
MNXR101945	3.5.1.68
MNXR101946	
MNXR101947	
MNXR101949	
MNXR101950	
MNXR101951	
MNXR101952	
MNXR101953	
MNXR101955	3.6.3.24
MNXR101956	
MNXR101957	
MNXR101958	
MNXR101959	3.6.3.24;7.2.2.i
MNXR101961	
MNXR101963	
MNXR101965	
MNXR101967	
MNXR101968	
MNXR101969	3.5.1.42
MNXR101972	
MNXR101973	
MNXR101975	1.4.3.21;1.4.3.6
MNXR101977	3.5.1.19;3.5.1.4
MNXR101979	2.4.2.21
MNXR101983	1.7.7.1
MNXR101984	
MNXR101985	
MNXR101987	1.7.99.4
MNXR101989	1.7.99.4
MNXR101991	3.6.3.26;7.3.2.4;7.3.2.e
MNXR101992	
MNXR101993	
MNXR101994	
MNXR101995	
MNXR101999	1.5.1.19
MNXR102000	
MNXR102002	
MNXR102003	
MNXR102004	
MNXR102006	1.14.13.39
MNXR102007	1.14.13.39
MNXR102008	
MNXR102010	1.11.1.6;1.14.13.225;1.3.1.95;1.6.3.1;1.6.3.3;1.6.99.3
MNXR102013	1.13.11.32;1.13.12.16
MNXR102014	
MNXR102015	
MNXR102016	
MNXR102017	
MNXR102018	
MNXR102019	
MNXR102020	
MNXR102021	
MNXR102022	
MNXR102023	
MNXR102024	
MNXR102025	
MNXR102028	3.1.3;3.1.3.2;3.1.3.31;3.1.3.5;3.1.3.89
MNXR102031	3.1.3.31;3.1.3.5
MNXR102033	3.1.3.-;3.1.3.2;3.1.3.5;3.1.3.89
MNXR102035	3.1.3;3.1.3.31;3.1.3.35;3.1.3.5;3.1.3.89
MNXR102036	3.1.3.2;3.1.3.31;3.1.3.5;3.1.3.89
MNXR102039	
MNXR102042	3.6.1;3.6.1.15;3.6.4.13
MNXR102044	3.6.1;3.6.1.15
MNXR102046	3.6.1.15
MNXR102047	3.6.1.15;3.6.1.39
MNXR102048	3.6.1.15;3.6.1.39;3.6.1.5
MNXR102057	3.1.5.1
MNXR102059	
MNXR102060	
MNXR102063	1.7.1.4
MNXR102064	
MNXR102065	
MNXR102066	
MNXR102067	
MNXR102068	1.7.1.4
MNXR102069	1.7.1.4
MNXR102070	3.5.5.1
MNXR102073	3.6.3.9;7.2.2.13;7.2.2.l
MNXR102074	3.6.3.9
MNXR102076	
MNXR102083	
MNXR102084	
MNXR102090	
MNXR102091	
MNXR102092	
MNXR102093	
MNXR102094	
MNXR102095	
MNXR102096	
MNXR102097	1.1.1.38;1.1.1.40;4.1.1.112;4.1.1.3;4.1.1.32;4.1.2.52;4.1.3.16;4.1.3.17;4.1.3.39;4.4.1.1
MNXR102098	7.2.4.2
MNXR102099	
